model,gamma,C,kernel,score
svm_classifier,0.04832930238571752,0.08858667904100823,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.5455594781168517,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.18329807108324356,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.12742749857031335,rbf,0.631578947368421
svm_classifier,0.04832930238571752,0.37926901907322497,rbf,0.631578947368421
svm_classifier,0.1,0.37926901907322497,linear,0.5789473684210527
svm_classifier,0.011288378916846883,10.0,rbf,0.5789473684210527
svm_classifier,0.01623776739188721,0.0206913808111479,poly,0.5789473684210527
svm_classifier,0.01623776739188721,0.08858667904100823,rbf,0.5789473684210527
svm_classifier,0.011288378916846883,10.0,linear,0.5789473684210527
svm_classifier,0.011288378916846883,3.359818286283781,rbf,0.5789473684210527
