season,round,driver,fastest_time,podium,grid,time
2015,7,rosberg,74.702,2,2,78.792
2015,7,bottas,75.102,3,4,79.34
2015,7,raikkonen,75.014,4,3,79.411
2015,7,vettel,77.344,5,16,79.472
2015,7,massa,77.886,6,17,79.565
2015,7,maldonado,75.329,7,6,79.712
2015,7,hulkenberg,75.614,8,7,79.982
2015,7,kvyat,76.079,9,8,80.088
2015,7,grosjean,75.194,10,5,80.115
2015,7,perez,76.338,11,10,80.404
2015,7,sainz,76.042,12,11,80.408
2015,7,ricciardo,76.114,13,9,80.569
2015,7,ericsson,76.262,14,13,80.652
2015,7,max_verstappen,76.245,15,12,80.669
2015,7,nasr,76.62,16,15,81.1
2015,7,stevens,79.157,17,19,83.918
2015,7,merhi,79.133,18,18,83.092
2015,7,alonso,76.276,20,14,81.537
2015,8,rosberg,68.655,1,2,76.295
2015,8,hamilton,68.455,2,1,76.348
2015,8,massa,69.192,3,4,76.542
2015,8,vettel,68.81,4,3,76.551
2015,8,bottas,69.319,5,6,77.05
2015,8,hulkenberg,69.278,6,5,77.197
2015,8,maldonado,70.374,7,11,77.403
2015,8,max_verstappen,69.612,8,7,77.416
2015,8,perez,72.522,9,16,77.62
2015,8,ricciardo,70.482,10,14,77.663
2015,8,nasr,69.713,11,9,77.96
2015,8,kvyat,69.694,12,8,78.054
2015,8,ericsson,70.426,13,12,79.152
2015,8,merhi,74.071,14,19,80.153
2015,8,grosjean,69.92,15,10,82.609
2015,8,sainz,70.465,16,13,83.69
2015,8,button,72.632,17,17,115.883
2015,9,hamilton,92.248,1,1,105.533
2015,9,rosberg,92.361,2,2,105.744
2015,9,vettel,93.547,3,6,106.023
2015,9,massa,93.085,4,3,106.242
2015,9,bottas,93.149,5,4,106.749
2015,9,kvyat,93.636,6,7,106.763
2015,9,hulkenberg,93.673,7,9,107.048
2015,9,raikkonen,93.379,8,5,107.676
2015,9,perez,94.268,9,11,107.956
2015,9,alonso,94.959,10,17,109.2
2015,9,ericsson,94.868,11,15,109.283
2015,9,merhi,99.377,12,20,112.181
2015,9,stevens,97.364,13,19,113.455
2015,9,sainz,93.649,14,8,104.515
2015,9,ricciardo,93.943,15,10,110.392
2015,9,max_verstappen,94.502,16,13,140.577
2015,10,vettel,82.739,1,3,92.319
2015,10,kvyat,83.332,2,7,92.402
2015,10,ricciardo,82.774,3,4,92.682
2015,10,max_verstappen,83.679,4,9,92.96
2015,10,alonso,84.563,5,15,93.03
2015,10,hamilton,82.02,6,1,93.073
2015,10,grosjean,84.181,7,10,93.168
2015,10,rosberg,82.595,8,2,93.172
2015,10,button,84.739,9,16,93.29
2015,10,ericsson,84.843,10,17,93.321
2015,10,nasr,84.997,11,18,93.383
2015,10,massa,83.537,12,8,93.395
2015,10,bottas,83.222,13,6,93.481
2015,10,maldonado,84.609,14,14,93.408
2015,10,merhi,87.416,15,19,95.493
2015,10,stevens,87.949,16,20,96.532
2015,10,sainz,83.869,17,12,94.274
2015,10,raikkonen,83.02,18,5,95.019
2015,10,perez,84.461,19,13,94.908
2015,10,hulkenberg,83.826,20,11,90.721
2015,11,hamilton,107.197,1,1,116.753
2015,11,rosberg,107.655,2,2,116.801
2015,11,grosjean,108.561,3,4,117.637
2015,11,kvyat,109.228,4,12,117.816
2015,11,perez,108.599,5,5,118.009
2015,11,massa,108.685,6,7,118.039
2015,11,raikkonen,109.288,7,14,118.049
2015,11,max_verstappen,109.831,8,15,118.057
2015,11,bottas,108.537,9,3,118.173
2015,11,ericsson,109.586,10,13,118.875
2015,11,nasr,109.952,11,16,119.133
2015,11,vettel,108.825,12,9,119.252
2015,11,alonso,111.42,13,18,119.854
2015,11,button,110.978,14,17,120.9
2015,11,merhi,113.099,15,20,121.844
2015,11,stevens,112.948,16,19,122.104
2015,11,sainz,109.771,17,10,127.179
2015,11,ricciardo,108.639,18,6,118.013
2015,12,hamilton,83.397,1,1,88.315
2015,12,vettel,83.685,2,3,88.787
2015,12,massa,83.94,3,5,89.214
2015,12,bottas,84.127,4,6,89.22
2015,12,raikkonen,83.631,5,2,89.614
2015,12,perez,84.626,6,7,89.688
2015,12,hulkenberg,85.317,7,9,90.067
2015,12,ricciardo,85.633,8,15,90.077
2015,12,ericsson,86.214,9,10,90.082
2015,12,kvyat,85.796,10,14,90.223
2015,12,sainz,85.618,11,13,90.293
2015,12,nasr,84.898,13,12,91.012
2015,12,button,86.058,14,16,91.444
2015,12,stevens,87.731,15,18,93.013
2015,12,merhi,87.912,16,19,93.27
2015,12,rosberg,83.703,17,4,88.873
2015,12,alonso,86.154,18,17,92.345
2015,13,vettel,103.885,1,1,119.379
2015,13,ricciardo,104.428,2,2,119.403
2015,13,raikkonen,104.667,3,3,119.66
2015,13,rosberg,105.415,4,6,119.784
2015,13,bottas,105.676,5,7,119.94
2015,13,kvyat,104.745,6,4,119.961
2015,13,perez,106.385,7,13,120.212
2015,13,max_verstappen,105.798,8,8,120.222
2015,13,sainz,106.894,9,14,120.246
2015,13,nasr,106.965,10,16,120.855
2015,13,ericsson,107.088,11,17,120.977
2015,13,maldonado,107.323,12,18,120.981
2015,13,grosjean,106.413,13,10,121.321
2015,13,rossi,111.523,14,20,123.744
2015,13,stevens,111.021,15,19,123.995
2015,13,button,107.019,16,15,122.661
2015,13,alonso,106.328,17,12,122.099
2015,13,hamilton,105.3,18,5,124.02
2015,13,massa,106.077,19,9,125.127
2015,13,hulkenberg,106.305,20,11,116.952
2015,14,hamilton,92.66,1,2,99.745
2015,14,rosberg,92.584,2,1,100.103
2015,14,vettel,93.245,3,4,100.139
2015,14,raikkonen,93.347,4,6,100.383
2015,14,bottas,93.024,5,3,100.439
2015,14,hulkenberg,94.39,6,11,100.794
2015,14,grosjean,93.967,7,8,101.11
2015,14,maldonado,94.497,8,13,101.134
2015,14,max_verstappen,94.522,9,15,101.544
2015,14,sainz,94.453,10,12,101.89
2015,14,alonso,94.785,11,14,102.139
2015,14,perez,94.174,12,9,102.221
2015,14,kvyat,94.201,13,10,102.337
2015,14,ericsson,95.673,14,17,102.529
2015,14,ricciardo,93.497,15,7,102.559
2015,14,button,95.664,16,16,102.654
2015,14,massa,93.337,17,5,104.469
2015,14,rossi,107.114,18,20,105.141
2015,14,stevens,98.783,19,19,106.009
