season,round,circuit_id,country,lat,long,date,url
2016,17,suzuka,Japan,34.8431,136.541,2016-10-09,http://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
2016,18,americas,USA,30.1328,-97.6411,2016-10-23,http://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
2016,19,rodriguez,Mexico,19.4042,-99.0907,2016-10-30,http://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
2016,20,interlagos,Brazil,-23.7036,-46.6997,2016-11-13,http://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
2016,21,yas_marina,UAE,24.4672,54.6031,2016-11-27,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
2017,1,albert_park,Australia,-37.8497,144.968,2017-03-26,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix
2017,2,shanghai,China,31.3389,121.22,2017-04-09,http://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix
2017,3,bahrain,Bahrain,26.0325,50.5106,2017-04-16,http://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix
2017,4,sochi,Russia,43.4057,39.9578,2017-04-30,http://en.wikipedia.org/wiki/2017_Russian_Grand_Prix
2017,5,catalunya,Spain,41.57,2.26111,2017-05-14,http://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
2017,6,monaco,Monaco,43.7347,7.42056,2017-05-28,http://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix
2017,7,villeneuve,Canada,45.5,-73.5228,2017-06-11,http://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix
2017,8,baku,Azerbaijan,40.3725,49.8533,2017-06-25,http://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix
2017,9,red_bull_ring,Austria,47.2197,14.7647,2017-07-09,http://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix
2017,10,silverstone,UK,52.0786,-1.01694,2017-07-16,http://en.wikipedia.org/wiki/2017_British_Grand_Prix
2017,11,hungaroring,Hungary,47.5789,19.2486,2017-07-30,http://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix
2017,12,spa,Belgium,50.4372,5.97139,2017-08-27,http://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix
2017,13,monza,Italy,45.6156,9.28111,2017-09-03,http://en.wikipedia.org/wiki/2017_Italian_Grand_Prix
2017,14,marina_bay,Singapore,1.2914,103.864,2017-09-17,http://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix
2017,15,sepang,Malaysia,2.76083,101.738,2017-10-01,http://en.wikipedia.org/wiki/2017_Malaysian_Grand_Prix
2017,16,suzuka,Japan,34.8431,136.541,2017-10-08,http://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix
2017,17,americas,USA,30.1328,-97.6411,2017-10-22,http://en.wikipedia.org/wiki/2017_United_States_Grand_Prix
2017,18,rodriguez,Mexico,19.4042,-99.0907,2017-10-29,http://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix
2017,19,interlagos,Brazil,-23.7036,-46.6997,2017-11-12,http://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix
2017,20,yas_marina,UAE,24.4672,54.6031,2017-11-26,http://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix
2018,1,albert_park,Australia,-37.8497,144.968,2018-03-25,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix
2018,2,bahrain,Bahrain,26.0325,50.5106,2018-04-08,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix
2018,3,shanghai,China,31.3389,121.22,2018-04-15,http://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix
2018,4,baku,Azerbaijan,40.3725,49.8533,2018-04-29,http://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix
2018,5,catalunya,Spain,41.57,2.26111,2018-05-13,http://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix
2018,6,monaco,Monaco,43.7347,7.42056,2018-05-27,http://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix
2018,7,villeneuve,Canada,45.5,-73.5228,2018-06-10,http://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix
2018,8,ricard,France,43.2506,5.79167,2018-06-24,http://en.wikipedia.org/wiki/2018_French_Grand_Prix
2018,9,red_bull_ring,Austria,47.2197,14.7647,2018-07-01,http://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix
2018,10,silverstone,UK,52.0786,-1.01694,2018-07-08,http://en.wikipedia.org/wiki/2018_British_Grand_Prix
2018,11,hockenheimring,Germany,49.3278,8.56583,2018-07-22,http://en.wikipedia.org/wiki/2018_German_Grand_Prix
2018,12,hungaroring,Hungary,47.5789,19.2486,2018-07-29,http://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix
2018,13,spa,Belgium,50.4372,5.97139,2018-08-26,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix
2018,14,monza,Italy,45.6156,9.28111,2018-09-02,http://en.wikipedia.org/wiki/2018_Italian_Grand_Prix
2018,15,marina_bay,Singapore,1.2914,103.864,2018-09-16,http://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix
2018,16,sochi,Russia,43.4057,39.9578,2018-09-30,http://en.wikipedia.org/wiki/2018_Russian_Grand_Prix
2018,17,suzuka,Japan,34.8431,136.541,2018-10-07,http://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix
2018,18,americas,USA,30.1328,-97.6411,2018-10-21,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix
2018,19,rodriguez,Mexico,19.4042,-99.0907,2018-10-28,http://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix
2018,20,interlagos,Brazil,-23.7036,-46.6997,2018-11-11,http://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix
2018,21,yas_marina,UAE,24.4672,54.6031,2018-11-25,http://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix
2019,1,albert_park,Australia,-37.8497,144.968,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix
2019,2,bahrain,Bahrain,26.0325,50.5106,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix
2019,3,shanghai,China,31.3389,121.22,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix
2019,4,baku,Azerbaijan,40.3725,49.8533,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
2019,5,catalunya,Spain,41.57,2.26111,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
2019,6,monaco,Monaco,43.7347,7.42056,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
2019,7,villeneuve,Canada,45.5,-73.5228,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
2019,8,ricard,France,43.2506,5.79167,2019-06-23,http://en.wikipedia.org/wiki/2019_French_Grand_Prix
2019,9,red_bull_ring,Austria,47.2197,14.7647,2019-06-30,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
