season,round,lap,driver,position,time
2014,1,34,grosjean,13,1:34.887
2014,1,34,gutierrez,14,1:34.485
2014,1,34,chilton,15,1:37.746
2014,1,34,jules_bianchi,16,1:36.937
2014,1,35,rosberg,1,1:33.981
2014,1,35,ricciardo,2,1:35.284
2014,1,35,kevin_magnussen,3,1:34.728
2014,1,35,bottas,4,1:35.912
2014,1,35,raikkonen,5,1:38.352
2014,1,35,kvyat,6,1:35.592
2014,1,35,alonso,7,1:52.828
2014,1,35,button,8,1:34.497
2014,1,35,hulkenberg,9,1:34.123
2014,1,35,vergne,10,1:33.864
2014,1,35,perez,11,1:33.526
2014,1,35,grosjean,12,1:35.351
2014,1,35,sutil,13,1:58.752
2014,1,35,gutierrez,14,1:34.479
2014,1,35,chilton,15,1:37.021
2014,1,35,jules_bianchi,16,1:57.075
2014,1,36,rosberg,1,1:34.464
2014,1,36,kevin_magnussen,2,1:34.995
2014,1,36,ricciardo,3,1:53.313
2014,1,36,button,4,1:34.157
2014,1,36,alonso,5,1:39.972
2014,1,36,hulkenberg,6,1:35.913
2014,1,36,vergne,7,1:34.162
2014,1,36,bottas,8,1:55.054
2014,1,36,raikkonen,9,1:54.280
2014,1,36,kvyat,10,1:55.843
2014,1,36,perez,11,1:33.996
2014,1,36,grosjean,12,1:35.283
2014,1,36,sutil,13,1:43.373
2014,1,36,gutierrez,14,1:35.200
2014,1,36,chilton,15,1:39.663
2014,1,36,jules_bianchi,16,1:43.452
2014,1,37,rosberg,1,1:35.190
2014,1,37,kevin_magnussen,2,1:52.635
2014,1,37,ricciardo,3,1:42.360
2014,1,37,button,4,1:34.157
2014,1,37,alonso,5,1:34.374
2014,1,37,hulkenberg,6,1:35.006
2014,1,37,vergne,7,1:34.642
2014,1,37,bottas,8,1:39.745
2014,1,37,raikkonen,9,1:40.692
2014,1,37,kvyat,10,1:39.257
2014,1,37,perez,11,1:33.687
2014,1,37,grosjean,12,1:35.616
2014,1,37,sutil,13,1:35.064
2014,1,37,gutierrez,14,1:35.203
2014,1,37,chilton,15,1:37.843
2014,1,37,jules_bianchi,16,1:36.148
2014,1,38,rosberg,1,1:55.194
2014,1,38,ricciardo,2,1:34.669
2014,1,38,kevin_magnussen,3,1:39.130
2014,1,38,button,4,1:34.036
2014,1,38,alonso,5,1:34.570
2014,1,38,hulkenberg,6,1:34.925
2014,1,38,vergne,7,1:35.097
