season,round,grid,circuit_id,driver,fastest_time,stage,q_delta
2014,7,14,villeneuve,grosjean,76.687,q2,1.8130000000000024
2014,7,15,villeneuve,kvyat,76.713,q2,1.8389999999999986
2014,7,16,villeneuve,sutil,77.314,q2,2.4399999999999977
2014,7,17,villeneuve,maldonado,78.328,q1,3.4540000000000077
2014,7,18,villeneuve,chilton,78.348,q1,3.4740000000000038
2014,7,19,villeneuve,jules_bianchi,78.359,q1,3.4849999999999994
2014,7,2,villeneuve,hamilton,74.953,q3,0.07900000000000773
2014,7,20,villeneuve,kobayashi,79.278,q1,4.404000000000011
2014,7,21,villeneuve,ericsson,79.82,q1,4.945999999999998
2014,7,22,villeneuve,gutierrez,,,0.0
2014,7,3,villeneuve,vettel,75.548,q3,0.0
2014,7,4,villeneuve,bottas,75.55,q3,4.947999999999993
2014,7,5,villeneuve,massa,75.578,q3,4.975999999999999
2014,7,6,villeneuve,ricciardo,75.589,q3,4.986999999999995
2014,7,7,villeneuve,alonso,75.814,q3,5.211999999999989
2014,7,8,villeneuve,vergne,76.162,q3,5.560000000000002
2014,7,9,villeneuve,button,76.182,q3,5.579999999999998
2014,8,1,red_bull_ring,massa,68.759,q3,0.0
2014,8,10,red_bull_ring,hulkenberg,69.624,q2,0.8649999999999949
2014,8,11,red_bull_ring,perez,69.754,q2,0.9950000000000045
2014,8,12,red_bull_ring,button,69.78,q2,1.0210000000000008
2014,8,13,red_bull_ring,vettel,69.801,q2,1.0420000000000016
2014,8,14,red_bull_ring,maldonado,69.939,q2,1.1799999999999926
2014,8,15,red_bull_ring,vergne,70.073,q2,1.313999999999993
2014,8,16,red_bull_ring,grosjean,70.642,q2,1.8829999999999956
2014,8,17,red_bull_ring,sutil,70.825,q1,2.0660000000000025
2014,8,18,red_bull_ring,gutierrez,71.349,q1,2.5900000000000034
2014,8,19,red_bull_ring,jules_bianchi,71.412,q1,2.653000000000006
2014,8,2,red_bull_ring,bottas,68.846,q3,0.0870000000000033
2014,8,20,red_bull_ring,kobayashi,71.673,q1,2.9140000000000015
2014,8,21,red_bull_ring,chilton,71.775,q1,3.0160000000000053
2014,8,22,red_bull_ring,ericsson,72.673,q1,3.9140000000000015
2014,8,3,red_bull_ring,rosberg,68.944,q3,0.18500000000000227
2014,8,4,red_bull_ring,alonso,69.285,q3,0.5259999999999962
2014,8,5,red_bull_ring,ricciardo,69.466,q3,0.7069999999999936
2014,8,6,red_bull_ring,kevin_magnussen,69.515,q3,0.7560000000000002
2014,8,7,red_bull_ring,kvyat,69.619,q3,0.8599999999999994
2014,8,8,red_bull_ring,raikkonen,70.795,q3,2.0360000000000014
2014,8,9,red_bull_ring,hamilton,69.092,q2,0.3329999999999984
2014,9,1,silverstone,rosberg,95.766,q3,0.0
2014,9,10,silverstone,vergne,100.855,q3,5.088999999999999
2014,9,11,silverstone,grosjean,98.496,q2,2.7299999999999898
2014,9,12,silverstone,jules_bianchi,98.709,q2,2.942999999999998
2014,9,13,silverstone,chilton,99.8,q2,4.033999999999992
2014,9,14,silverstone,gutierrez,100.912,q2,5.146000000000001
2014,9,15,silverstone,maldonado,104.018,q2,8.251999999999995
2014,9,16,silverstone,sutil,102.603,q1,6.836999999999989
2014,9,17,silverstone,bottas,105.318,q1,9.551999999999992
2014,9,18,silverstone,massa,105.695,q1,9.928999999999988
2014,9,19,silverstone,alonso,105.935,q1,10.168999999999997
2014,9,2,silverstone,vettel,97.386,q3,1.6199999999999903
2014,9,20,silverstone,raikkonen,106.684,q1,10.917999999999992
2014,9,21,silverstone,ericsson,109.421,q1,13.655000000000001
2014,9,22,silverstone,kobayashi,109.625,q1,13.858999999999995
