season,round,lap,driver,position,time
2017,6,11,kevin_magnussen,9,1:18.101
2017,6,11,hulkenberg,10,1:18.147
2017,6,11,kvyat,11,1:17.990
2017,6,11,hamilton,12,1:18.313
2017,6,11,vandoorne,13,1:18.434
2017,6,11,massa,14,1:18.751
2017,6,11,ocon,15,1:18.432
2017,6,11,jolyon_palmer,16,1:18.818
2017,6,11,stroll,17,1:18.463
2017,6,11,ericsson,18,1:18.910
2017,6,11,wehrlein,19,1:18.743
2017,6,11,button,20,1:18.627
2017,6,12,raikkonen,1,1:16.429
2017,6,12,vettel,2,1:16.622
2017,6,12,bottas,3,1:16.975
2017,6,12,max_verstappen,4,1:16.995
2017,6,12,ricciardo,5,1:17.137
2017,6,12,sainz,6,1:17.612
2017,6,12,perez,7,1:17.715
2017,6,12,grosjean,8,1:18.217
2017,6,12,kevin_magnussen,9,1:17.816
2017,6,12,hulkenberg,10,1:18.229
2017,6,12,kvyat,11,1:18.289
2017,6,12,hamilton,12,1:18.384
2017,6,12,vandoorne,13,1:18.311
2017,6,12,massa,14,1:18.316
2017,6,12,ocon,15,1:18.722
2017,6,12,jolyon_palmer,16,1:18.479
2017,6,12,stroll,17,1:18.615
2017,6,12,ericsson,18,1:18.792
2017,6,12,wehrlein,19,1:18.410
2017,6,12,button,20,1:18.608
2017,6,13,raikkonen,1,1:16.683
2017,6,13,vettel,2,1:16.883
2017,6,13,bottas,3,1:17.174
2017,6,13,max_verstappen,4,1:16.978
2017,6,13,ricciardo,5,1:17.114
2017,6,13,sainz,6,1:17.481
2017,6,13,perez,7,1:17.563
2017,6,13,grosjean,8,1:17.793
2017,6,13,kevin_magnussen,9,1:17.711
2017,6,13,hulkenberg,10,1:17.885
2017,6,13,kvyat,11,1:18.250
2017,6,13,hamilton,12,1:17.872
2017,6,13,vandoorne,13,1:18.141
2017,6,13,massa,14,1:18.070
2017,6,13,ocon,15,1:18.096
2017,6,13,jolyon_palmer,16,1:18.633
2017,6,13,stroll,17,1:18.650
2017,6,13,ericsson,18,1:18.652
2017,6,13,wehrlein,19,1:18.264
2017,6,13,button,20,1:18.281
2017,6,14,raikkonen,1,1:16.659
2017,6,14,vettel,2,1:16.197
2017,6,14,bottas,3,1:17.039
2017,6,14,max_verstappen,4,1:16.900
2017,6,14,ricciardo,5,1:17.558
2017,6,14,sainz,6,1:17.547
2017,6,14,perez,7,1:17.728
2017,6,14,grosjean,8,1:17.733
2017,6,14,kevin_magnussen,9,1:17.834
2017,6,14,hulkenberg,10,1:17.955
2017,6,14,kvyat,11,1:17.830
2017,6,14,hamilton,12,1:17.755
2017,6,14,vandoorne,13,1:18.292
2017,6,14,massa,14,1:18.240
2017,6,14,ocon,15,1:18.158
2017,6,14,jolyon_palmer,16,1:18.246
2017,6,14,stroll,17,1:18.298
2017,6,14,ericsson,18,1:19.511
2017,6,14,wehrlein,19,1:18.457
2017,6,14,button,20,1:18.338
2017,6,15,raikkonen,1,1:16.978
2017,6,15,vettel,2,1:16.562
2017,6,15,bottas,3,1:17.055
2017,6,15,max_verstappen,4,1:16.767
2017,6,15,ricciardo,5,1:16.730
2017,6,15,sainz,6,1:17.592
2017,6,15,perez,7,1:17.838
2017,6,15,grosjean,8,1:17.659
2017,6,15,kevin_magnussen,9,1:17.555
2017,6,15,hulkenberg,10,1:18.183
2017,6,15,kvyat,11,1:19.010
2017,6,15,hamilton,12,1:18.061
2017,6,15,vandoorne,13,1:18.116
2017,6,15,massa,14,1:18.311
2017,6,15,ocon,15,1:18.501
2017,6,15,jolyon_palmer,16,1:18.126
2017,6,15,stroll,17,1:17.960
2017,6,15,ericsson,18,1:18.764
2017,6,15,wehrlein,19,1:18.423
2017,6,15,button,20,1:18.323
2017,6,16,raikkonen,1,1:16.549
2017,6,16,vettel,2,1:16.983
2017,6,16,bottas,3,1:16.836
2017,6,16,max_verstappen,4,1:16.921
2017,6,16,ricciardo,5,1:17.279
2017,6,16,sainz,6,1:17.016
2017,6,16,grosjean,7,1:17.751
2017,6,16,kevin_magnussen,8,1:17.580
2017,6,16,kvyat,9,1:17.137
2017,6,16,hamilton,10,1:17.780
2017,6,16,vandoorne,11,1:18.715
2017,6,16,massa,12,1:19.230
2017,6,16,ocon,13,1:18.653
2017,6,16,jolyon_palmer,14,1:18.697
2017,6,16,stroll,15,1:18.686
2017,6,16,perez,16,1:41.915
2017,6,16,ericsson,17,1:19.362
2017,6,16,wehrlein,18,1:19.595
2017,6,16,button,19,1:18.942
2017,6,17,raikkonen,1,1:17.979
2017,6,17,vettel,2,1:17.569
2017,6,17,bottas,3,1:17.203
2017,6,17,max_verstappen,4,1:17.363
2017,6,17,ricciardo,5,1:17.435
2017,6,17,sainz,6,1:17.895
2017,6,17,grosjean,7,1:18.209
2017,6,17,kevin_magnussen,8,1:18.384
2017,6,17,kvyat,9,1:17.420
2017,6,17,hamilton,10,1:17.676
2017,6,17,vandoorne,11,1:18.001
2017,6,17,massa,12,1:18.154
2017,6,17,ocon,13,1:18.469
2017,6,17,jolyon_palmer,14,1:18.248
2017,6,17,stroll,15,1:18.741
2017,6,17,perez,16,1:19.083
2017,6,17,ericsson,17,1:18.968
2017,6,17,wehrlein,18,1:18.682
2017,6,17,button,19,1:18.663
2017,6,18,raikkonen,1,1:16.894
2017,6,18,vettel,2,1:16.943
2017,6,18,bottas,3,1:16.570
2017,6,18,max_verstappen,4,1:16.622
2017,6,18,ricciardo,5,1:17.003
2017,6,18,sainz,6,1:17.907
2017,6,18,grosjean,7,1:17.553
2017,6,18,kevin_magnussen,8,1:17.617
2017,6,18,kvyat,9,1:17.200
2017,6,18,hamilton,10,1:17.087
2017,6,18,vandoorne,11,1:17.679
2017,6,18,massa,12,1:17.967
2017,6,18,ocon,13,1:17.882
2017,6,18,jolyon_palmer,14,1:18.280
2017,6,18,stroll,15,1:18.362
2017,6,18,perez,16,1:17.713
2017,6,18,ericsson,17,1:19.044
2017,6,18,wehrlein,18,1:18.386
2017,6,18,button,19,1:18.494
2017,6,19,raikkonen,1,1:16.904
2017,6,19,vettel,2,1:17.106
2017,6,19,bottas,3,1:17.016
2017,6,19,max_verstappen,4,1:16.906
2017,6,19,ricciardo,5,1:16.938
2017,6,19,sainz,6,1:17.219
2017,6,19,grosjean,7,1:17.484
2017,6,19,kevin_magnussen,8,1:17.316
2017,6,19,kvyat,9,1:16.974
2017,6,19,hamilton,10,1:17.223
2017,6,19,vandoorne,11,1:17.579
2017,6,19,massa,12,1:18.615
2017,6,19,ocon,13,1:18.359
2017,6,19,jolyon_palmer,14,1:17.934
2017,6,19,stroll,15,1:17.983
2017,6,19,perez,16,1:18.043
2017,6,19,ericsson,17,1:18.772
2017,6,19,wehrlein,18,1:18.092
2017,6,19,button,19,1:18.373
2017,6,20,raikkonen,1,1:16.420
2017,6,20,vettel,2,1:16.384
2017,6,20,bottas,3,1:16.448
2017,6,20,max_verstappen,4,1:16.522
2017,6,20,ricciardo,5,1:16.686
2017,6,20,sainz,6,1:17.330
2017,6,20,grosjean,7,1:17.368
2017,6,20,kevin_magnussen,8,1:17.808
2017,6,20,kvyat,9,1:17.267
